folk	'人们'	'When there are folks in Eggleston''s images-and there are not amny of them here'	2026-02-24 17:04:10
forum	'论坛'	'file forum'	2026-02-24 17:04:10
aesthetic	'美学'		2026-02-24 17:04:10
tenement	'住户'	'tenement stories'	2026-02-24 17:04:10
trenchant	'尖锐的'	'His comment was trenchant'	2026-02-24 17:04:10
turning to look over her shoulder at the camera	'转过身来， 越过肩膀看着镜头'		2026-02-24 17:04:10
european	欧洲	Three-quarter of working-age Americans work, compared with roughly 60% of Europeans	2026-02-24 17:04:10
fit	'适应'	'a Cuban family struggles to fit into American life'	2026-02-24 17:04:10
cuban	'古巴人'	' a Cuban family '	2026-02-24 17:04:10
fifty-plus-film	'五十多部电影'		2026-02-24 17:04:10
feature	'专题节目'	'one of the first gangster features'	2026-02-24 17:04:10
arrange	'筹备'	'arranges a paid marriage'	2026-02-24 17:04:10
vastness	'广阔'		2026-02-24 17:04:10
bureaucratic	'官僚的'	'detailing the bureaucratic pressures that drive ordinary people to take desperate action'	2026-02-24 17:04:10
dust off	'擦去灰尘'		2026-02-24 17:04:10
debris	'碎片'	'he dusted off that critical debris'	2026-02-24 17:04:10
lip	'嘴唇'		2026-02-24 17:04:10
echo	附和， 回声	He listened and heard nothing but the echoes of his own voice in the cave	2026-02-24 17:04:10
deportation	'驱逐出境'	' a young Chinese man who facing deportation'	2026-02-24 17:04:10
detritus	垃圾, 废弃物	the detritus of war	2026-02-24 17:04:10
landmark show	'里程碑的节目'		2026-02-24 17:04:10
distinctly	'非常'		2026-02-24 17:04:10
be made to	'被迫做某事'	'Is she covering her mouth because she''s been made to see her lips as too big'	2026-02-24 17:04:10
billboard	广告版	A huge billboard stands by the highway	2026-02-24 17:04:10
evocation	唤起	It's a powerful evocation of the psychology of beauty in the South	2026-02-24 17:04:10
tale	'故事'		2026-02-24 17:04:10
spread out	'分散开来'		2026-02-24 17:04:10
social exclusion	'社会排斥'	'the burden of social exclusion'	2026-02-24 17:04:10
marriage	'婚礼'		2026-02-24 17:04:10
chinatown	唐人街	Manhattan's Chinatown	2026-02-24 17:04:10
mobster	'暴徒'	''	2026-02-24 17:04:10
melancholy	忧郁	The only sounds were the distant, melancholy cries of the sheep	2026-02-24 17:04:10
grandeur	壮丽， 高贵	He is wholly concerned with his own grandeur	2026-02-24 17:04:10
gossip	八卦	He spent the first hour talking gossip	2026-02-24 17:04:10
contend	'斗争'	'contending with local mobster'	2026-02-24 17:04:10
overtime	加班		2026-02-24 17:08:25
hockey	冰球		2026-02-24 17:09:30
score	得分		2026-02-24 17:09:47
goal	得分		2026-02-24 17:09:53
atlantic	大西洋的		2026-02-24 17:11:03
take position	占据	American forces have taken positions across the Middle East	2026-02-24 17:11:51
poised	准备好的	The army was poised to attack at dawn	2026-02-24 17:12:08
badly	极其		2026-02-24 17:12:46
blow up	夸大	He blow up nuclear enrichment sites in Iran	2026-02-24 17:13:11
assent	批准	He gave his assent to the proposed legislation	2026-02-24 17:13:41
commando	突袭队	a small commando of marines	2026-02-24 17:14:23
mount	组织	He may mount a bigger attack	2026-02-24 17:14:53
asset	资产		2026-02-24 17:15:04
hostile	敌对的		2026-02-24 17:15:16
aid	助手`		2026-02-24 17:15:31
protest	抗议		2026-02-24 17:15:37
knock over	推翻	Be careful not to knock over that glass of water	2026-02-24 17:15:54
regime	独裁政府	the collapse of the Facst regime at the end of the war	2026-02-24 17:16:02
supreme	最高级	MacArthur was Supreme Commander for the allied powers in the Pacific	2026-02-24 17:16:08
bolster	增强	Hopes of an early cut in interest rates bolstered confidence	2026-02-24 17:16:34
intelligence	间谍， 情报	why was military intelligence so lacking	2026-02-24 17:17:09
cast as	把..看作		2026-02-24 17:17:26
setback	挫折		2026-02-24 17:17:32
uranium	铀	Nuclear power palnts use uranium as their primary fuel source to generate electricity	2026-02-24 17:17:46
seek	寻找		2026-02-24 17:18:06
doormat	门垫	If you always give in to others you will end up feeling like doormat	2026-02-24 19:44:40
doorbell	门铃		2026-02-24 19:44:49
ceiling	天花板		2026-02-24 19:45:04
nap	小睡	I might take a little nap	2026-02-24 19:45:17
lamp	灯	She switched on the bedside lamp	2026-02-24 19:45:26
stove	火炉	She put the kettle on the gas stove	2026-02-24 19:45:38
pantry	餐具室	we keep all our dry goods like pasta, rice, and canned soup in the kitchen pantry	2026-02-24 19:45:57
oven	烤炉		2026-02-24 19:46:06
chandelier	枝形吊灯	a crystal chandelier lit the room	2026-02-24 19:46:30
patio	露台	I love to site on the patio	2026-02-24 19:46:39
fire pit	火坑	we love to site around the fire pit in the bakyard	2026-02-24 19:46:52
sink	洗盆， 水槽	The sink was full of dirty dishes	2026-02-24 19:47:09
bunk bed	双层床		2026-02-24 19:47:40
certainty	必然的事	An attack is a near certainty	2026-02-25 11:25:44
grief	悲伤	a huge outpouring of national grief for the victims of the shootings	2026-02-25 11:26:34
overwhelming	难以抗拒的		2026-02-25 11:26:47
the die has already been cast	木已成舟		2026-02-25 11:27:08
crackdown	打压	anti-government unrest that ended with the violent army crackdown	2026-02-25 11:29:39
to varying degrees	不同程度的	Others still support the government to varying degrees	2026-02-25 11:33:24
firework	烟花	They drank champagne, set off fireworks and tooted ther car horns	2026-02-25 11:37:34
chant	唱圣歌	goverment supporters chanted "God is great"	2026-02-25 11:38:53
rooftop	屋顶		2026-02-25 11:39:28
yell	呼喊	I'm sorry I yelled at you last night	2026-02-25 11:39:33
exasperation	恼怒	she let out a sigh of exasperation	2026-02-25 11:44:51
voice	表达	Many poeple keep voicing their anger despite a fearsome and onging crackdown	2026-02-25 11:46:40
university	大学		2026-02-25 15:17:38
semester	学期		2026-02-25 15:18:04
meat	肉		2026-02-25 15:19:33
middle-class	中产的		2026-02-25 15:19:56
long since	很早以前	We talk to middle-class families who have long since stopped buying meat for their meals	2026-02-25 15:24:54
devastated	毁灭的		2026-02-25 15:25:40
materially	物质地		2026-02-25 15:26:02
anticipation	期待	There's been an atmosphere of anticipation around here for a few day now	2026-02-25 15:26:27
yet	仍然， 然而	yet a few tell us they welcome a strike	2026-02-25 15:28:19
blogger	写博客的人		2026-02-25 15:31:04
ballistic	弹射的	ballistic missiles	2026-02-25 15:33:46
analyst	分析人士		2026-02-25 15:34:26
tight fisted	守财奴		2026-03-01 14:00:59
honey	亲爱的（n）， 蜂蜜	Honey, I don't really think that's a good idea	2026-03-01 14:02:06
rural	农村的		2026-03-01 14:02:17
correspondent	记者	He was a Beijing correspondent	2026-03-01 14:28:22
assignment	任务， 分配	His most recent assignment was on an icebreaker in Antarctica	2026-03-01 14:31:15
icebreaker	碎冰船	This exercise can be quite a useful icebreaker for new groups	2026-03-01 14:31:35
