mouth	嘴	She clamped her hand against her mouth	2026-02-24 17:04:10
sober	庄严的， 清醒的	He was sober	2026-02-24 17:04:10
stateliness	庄严	the stateliness of the ancient cathedral	2026-02-24 17:04:10
inbox	收件箱	reasons to love your inbox again	2026-02-24 17:04:10
lyrical	热情奔放的	His paintings became more lyrical	2026-02-24 17:04:10
stunner	绝妙的东西	The real stunner when it comes to showing us community is Eggleston's 1972 image of a young Black woman	2026-02-24 17:04:10
jolt	震惊	you feel a little jolt	2026-02-24 17:04:10
picaresque	流浪汉， 流浪汉为题材的	picaresque tale	2026-02-24 17:04:10
indolence	懒惰	the hot summer afternoon seem to encourage indolence	2026-02-24 17:04:10
amused	逗笑的	Sara was not amused by Franklin's teasing.	2026-02-24 17:04:10
obliterate	摧毁	Their warheads are enough to obliterate the world several times over	2026-02-24 17:16:51
vanity	梳妆台， 虚荣心	Men who use steroids are motivated by sheer vanity	2026-02-24 19:47:26
mourning	悲伤	Yesterday the whole of Greece was in mourning	2026-02-25 11:27:43
wrestle	艰难对付	Delegates wrestled with the problems of violence and sanctions	2026-02-25 11:29:22
weary	疲倦的	They are weary	2026-02-25 11:30:46
fracture	分裂	the opposition is also fractured about what the future should look like	2026-02-25 11:31:35
wary	警惕的	People did not teach their children to be wary of strangers	2026-02-25 11:32:36
defiance	违抗	his courageous defiance of the government	2026-02-25 11:44:02
dissident	不同政见者	political dissident	2026-02-25 15:16:50
demonstration	游行	Riot police used tear gas to break up the demonstration	2026-02-25 15:18:26
capitulate	认输	The club eventually capitulated and now grants equal rights to women	2026-02-25 15:33:17
tight spot	困境	The printe broke right before the meeting, and that put me in a tight spot	2026-03-01 14:01:39
atoll	海洋环境	He wrote about atolls from the Maldives	2026-03-01 14:27:33
cork	软木塞	He popped the cork and the champagne fizzed out over the bottle	2026-03-01 14:55:21
swamp	淹没	That could swamp coastal communities worldwide with as much as five meters of extra water over the coming centuries	2026-03-01 14:57:26
shortsightedness	近视	His shortsightedness means he can't read road signs until he's right in front of them	2026-03-02 09:11:03
gargantuan	庞大的	a marketing event of gargantuan proportions	2026-03-02 09:13:26
uncanny	神秘的， 可怕的	They have uncannily similar voices	2026-03-02 09:17:37
unholy	不适宜的	The economy is still an unholy mess	2026-03-02 09:30:16
field	实地考察	Students will go on a filed trip next week	2026-03-02 09:35:15
candidacy	候选人资格	Today he is formally announcing his candidacy for president	2026-03-02 14:35:22
kidding	开玩笑	I'm not kidding, Frank. There's a cow out there, just standing around	2026-03-02 14:35:35
snap	断裂， 拍照	The brake pedal had just snapped off	2026-03-02 14:35:57
size up	评估	with only other giant blocks of ice to size them up against	2026-03-03 09:49:05
overstuff	装满	our environment are overstuffed with visual cues	2026-03-03 09:50:48
recalibrate	重新校准	That's why it can be so powerful to get away from such spaces, into mountains, deserts and other landscapes that force you to recalibrate your sense of relative size	2026-03-03 09:54:16
seismic shift	巨大的变化	he had experienced this kind of seismic shift	2026-03-03 09:55:47
iconic	图符的	iconic photo	2026-03-03 09:59:27
peek	偷看	On the occasions she had peeked at him through a crack in the wall	2026-03-03 10:00:28
all but	几乎	It was all but impossible to succeed.	2026-03-03 10:22:01
horn	喇叭	He sounded the car horn	2026-03-03 10:58:23
modality	形式	Teaching modality affects how well students learn	2026-03-03 11:00:40
catalyze	刺激， 催化	The enzyme catalyzes the reaction without being consumed	2026-03-03 11:01:00
paradigm	样本	a new paradigm of production	2026-03-03 11:01:17
be poised to	准备好	She is poised to win the competition	2026-03-03 11:01:37
fidelity	精确性, 忠贞	The model reproduces details with high fidelity	2026-03-03 11:02:22
pivotal	中枢的， 关键的	The elections may prove to be pivotal in Colombia's political history	2026-03-03 11:02:38
enity	实体	the earth as a living entity	2026-03-03 11:03:01
promise	期待	The new technology show great promise	2026-03-03 11:03:17
protease	蛋白酶	Protease is an enzyme that breaks down proteins	2026-03-03 11:03:34
cysteine	半胱氨酸	Cysteine is a sulfur-containing amino acid in proteins	2026-03-03 11:05:00
inherent	固有的	Man is not inherently violent	2026-03-03 11:05:55
gangbuster	势如破竹	The economy was still going gangbusters	2026-03-04 13:01:38
inflation	通胀率, 通货膨胀	Inflation is plummeting	2026-03-04 13:02:22
plummeting	骤然下跌	In Tokyo share prices have plummeted for the sixth successive day	2026-03-04 13:02:39
state of the union	国情咨文	In his State of Union message, the president talked about campaign reform	2026-03-04 13:03:51
voter	选民	The turnout was at least 62 percent of registered voters.	2026-03-04 13:08:24
squeeze	资金紧缩	voters felt squeezed	2026-03-04 13:09:17
phenomenon	现象	Rainbow is a beatiful natural phenomenon	2026-03-04 13:10:18
bipartisan	代表两党的	Political bipartism is needed to pass the key reform bill	2026-03-04 13:10:52
disconnect	差异	There is a clear disconnect between public opinion and government policy	2026-03-04 13:14:09
council	委员会	a former chairman of the Council of Economic Advisers	2026-03-04 13:15:43
immense	巨大的	The project brings immense economic benefits.	2026-03-04 13:20:58
elegance	优雅	The old palace is full of timeless elegance	2026-03-04 13:21:21
formulate	规划， 确切表达， 用公式表示	Little by little, he formulated his plan for escape.	2026-03-04 13:22:32
precursor	前体	a reaction-competent precursor	2026-03-04 13:23:16
central	最重要的	Hard work remains central to success.	2026-03-04 13:23:33
sample	取样	We based our analysis on a random sample of more than 200 males.	2026-03-04 13:23:57
run	管理	She runs a small cafe downtown	2026-03-05 12:10:43
dilemma	困境	It's a bit of a dilemma for incumbents	2026-03-05 12:12:03
rosy	有希望的， 有希望的	The economic outlook is far from rosy	2026-03-05 12:25:14
watch	管理期	many reforms were carried out during his watch.	2026-03-05 12:25:43
parking spot	停车场	I finally found an empty parking spot	2026-03-06 17:38:15
mind-set	心态	He encountered the same mind-set repeatedly	2026-03-06 17:39:14
manuver	动作	Backer-inners, it seemed preferred doing the harder maneuver first	2026-03-06 17:41:31
favor	帮助(n)	you'll find people talking about doing favors for their future selves	2026-03-06 17:48:24
premise	前提	on the premise	2026-03-06 17:50:50
oneself	自己	it can be easier to do something kind for another person than to do it for oneself	2026-03-06 17:51:57
reap	获得	reap the benefits of getting on the road faster	2026-03-06 17:53:28
drag	拖累	It can feel like a drag to do something uncomfortable now in order to reap the benefits later	2026-03-06 17:58:18
gym	体育馆	goint to the gym	2026-03-06 17:58:48
payoff	结果	the future payoff feels worth it	2026-03-06 18:01:25
alternately	交替地		2026-03-06 18:02:50
sabotage	妨碍	I watch the way I alternately take care of Future Me and then sabotage her nearly every night	2026-03-06 18:03:32
load	装进	"I load the dishwasher "	2026-03-06 18:05:19
a scene of order	井然有序的景象		2026-03-06 18:06:52
bummer	令人失望的事	I had a bummer of a day	2026-03-06 18:07:43
sucessvie	连续的		2026-03-06 18:19:05
pit	坑		2026-03-06 18:33:46
sheer	纯粹的		2026-03-06 18:33:54
plant	工厂		2026-03-06 18:34:07
bedside	床边		2026-03-06 18:34:22
mock	嘲讽		2026-03-06 18:34:57
couple	耦合		2026-03-06 18:35:13
pillar	支柱		2026-03-06 18:35:23
analog	模拟的		2026-03-06 18:35:37
feasibility	可行性		2026-03-06 18:35:53
scaffold	脚手架		2026-03-06 18:36:10
electrophile	亲电试剂		2026-03-06 18:36:27
preserve	保存		2026-03-06 18:36:37
adapt	t调整		2026-03-06 18:36:43
binder	粘合剂		2026-03-06 18:36:59
de novo molecule generatioin	从头分子设计		2026-03-06 18:37:20
indispensable	必需的		2026-03-06 18:37:35
procrastination	拖延症	His procrastination on the research paper left him pulling an all-night before the deadline	2026-03-08 10:40:20
partake	参加	partake in	2026-03-08 10:40:32
stay up	熬夜	stay up late reaading	2026-03-08 10:41:09
revel	享受	reveling in the agency of "me time"	2026-03-08 10:42:09
answerable	负责的	I am answerable to no one but myself	2026-03-08 10:44:20
decade from now	十年后		2026-03-08 10:52:12
temporal	世俗的， 时间的	the spiritual and temporal leader of the people	2026-03-08 10:54:18
discounting	折扣		2026-03-08 10:54:25
upfront	预付的	The landlord requires the first month's rent and a security deposite upfront	2026-03-08 11:03:49
hassle	困难	I don't think it's worth the money or the hassle	2026-03-08 11:04:00
cheat	欺骗		2026-03-08 11:04:08
await	等待		2026-03-08 11:06:09
commander	指挥官	The commander and some of the men had been released	2026-03-08 11:43:41
pacific	太平洋的	Gorbachev was less pacific than people thought	2026-03-08 11:43:59
fascist	法西斯主义者	an upsurge of support for extreme rightist, nationalist and fascist organizations	2026-03-08 11:44:20
acquit	无罪释放	Mr. Castorina was acquitted of attempted murder	2026-03-08 11:44:41
charge	指控		2026-03-08 11:44:51
assault	袭击		2026-03-08 11:44:57
whine	嘎吱声	He could hear her dog barking and whining in the background	2026-03-10 10:26:30
dial	拨号		2026-03-10 10:26:44
modem	调制解调器	He sent his work to his publishers by modem	2026-03-10 10:27:38
remediation	矫正	remediation of our own screen dependence	2026-03-10 10:29:07
lockable	可锁定的		2026-03-10 10:30:32
pouch	小袋子	Joe Bob took out his pipe and dug it into a pouch of tobacco	2026-03-10 10:30:48
stow	装载	Luke stowed his cameraa bags into the boot	2026-03-10 10:31:19
wire	电报		2026-03-10 10:32:24
downgrade	降级		2026-03-10 10:33:08
even if	即使		2026-03-10 10:40:44
escalate	升级		2026-03-10 10:42:44
battle	斗争		2026-03-10 10:42:55
will	意志		2026-03-10 10:43:11
tap	轻拍		2026-03-10 10:45:10
pond	池塘	She chose a bench beside the duck pond and sat down	2026-03-10 10:47:53
wood	树林		2026-03-10 10:48:06
repair	结伴去	to repair to the country	2026-03-10 10:48:21
dwelling	住宅	""	2026-03-10 10:50:20
transcendentalist	先验论者	As a transcendentalist, Emerson believed in the inherent goodness of both people and nature	2026-03-10 10:50:56
impulsively	有推动力的	She tends to act impulsively, buying things she doesn't need and regretting it later	2026-03-10 10:51:24
detox	排毒	A patiennt going through acute detox will have an assigned nurse nearby	2026-03-10 10:52:30
perpetual	长期的	the creation of a perpetual union	2026-03-10 10:52:37
captor	捕获者		2026-03-10 10:52:46
negotiate	谈判	It is not clear whether the president is willing to negotiate with the Demcreats	2026-03-10 10:53:17
jelly	果冻	a bowl of jelly	2026-03-10 11:25:33
act	法案		2026-03-10 11:25:40
motive	动机		2026-03-10 11:25:54
acid	酸		2026-03-10 11:26:05
deed	行为		2026-03-10 11:26:13
armpit	腋窝		2026-03-10 11:28:34
latte	拿铁咖啡	every morning, she stops at the cafe for a vanilla latte before work	2026-03-10 11:29:10
butter	黄油， 干果酱		2026-03-10 11:29:37
crumb	面包	I stood up, brushing crumbs from my trousers	2026-03-10 11:30:02
vest	背心	He put on a pair of boxer shorts and a vest	2026-03-10 11:30:21
hang out	闲逛	I cannot find someone to hang out with other than the people  who are around me	2026-03-11 21:46:40
dorm	宿舍	She lived in a college domitory	2026-03-11 21:52:49
unshackle	释放	we try to unshackle ourselves from constant phone checking	2026-03-11 21:54:49
plight	困境		2026-03-11 21:56:32
articulate	明确表达		2026-03-11 21:59:18
lag	间隔	There's a time lag between infection with HIV and developing with HIV and developing AIDS	2026-03-11 22:01:44
retreat	后退		2026-03-11 22:02:03
deliberate	小心翼翼的		2026-03-11 22:07:32
dust	把粉末撒于		2026-03-11 22:08:46
ponder	沉思		2026-03-11 22:25:00
nostalgic	思乡的		2026-03-11 22:25:42
refrain	克制		2026-03-11 22:26:09
monotony	单调乏味		2026-03-11 22:26:25
extraterrestrial	地外的		2026-03-11 22:26:39
subtitle	字幕		2026-03-11 22:27:01
clip	修剪		2026-03-11 22:27:20
cave in	让步		2026-03-11 22:27:38
crop	一批		2026-03-11 22:28:05
duster	抹布		2026-03-11 22:28:16
union	工会		2026-03-11 22:56:59
brush	刷	We gave him paint and brushes	2026-03-11 22:57:04
capital	首都	Iran's capital faced intense shelling	2026-03-12 09:54:09
intense	激烈的		2026-03-12 09:54:23
